8=FIX4.4; 35=8; 34=149; 49=MS; 56=M3; 52=2022-04-11-14:37:42; 151=11524; 55=ABB; 11=C_algo20220411143742; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143742; 32=0; 41=algo20220411143742; 38=23048; 60=2022-04-11-14:37:42; 6=0.0; 14=0; 37=algo20220411143742; 10=252;
8=FIX4.4; 35=8; 34=153; 49=MS; 56=M3; 52=2022-04-11-14:37:45; 151=13361; 55=ABT; 11=C_algo20220411143744; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143745; 32=0; 41=algo20220411143744; 38=26721; 60=2022-04-11-14:37:45; 6=0.0; 14=6680; 37=algo20220411143744; 10=252;
8=FIX4.4; 35=8; 34=156; 49=MS; 56=M3; 52=2022-04-11-14:37:47; 151=5818; 55=ABBV; 11=C_algo20220411143747; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143747; 32=0; 41=algo20220411143747; 38=11635; 60=2022-04-11-14:37:47; 6=0.0; 14=0; 37=algo20220411143747; 10=252;
8=FIX4.4; 35=8; 34=165; 49=MS; 56=M3; 52=2022-04-11-14:37:53; 151=10875; 55=AAPL; 11=C_algo20220411143753; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143753; 32=0; 41=algo20220411143753; 38=21750; 60=2022-04-11-14:37:53; 6=0.0; 14=0; 37=algo20220411143753; 10=252;
8=FIX4.4; 35=8; 34=170; 49=MS; 56=M3; 52=2022-04-11-14:37:57; 151=958; 55=; 11=C_algo20220411143757; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143757; 32=0; 41=algo20220411143757; 38=1916; 60=2022-04-11-14:37:57; 6=0.0; 14=0; 37=algo20220411143757; 10=252;
8=FIX4.4; 35=8; 34=54; 49=MS; 56=M3; 52=2022-04-11-14:38:05; 151=10735; 55=AAPL; 11=C_algo20220411143804; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143805; 32=0; 41=algo20220411143804; 38=32205; 60=2022-04-11-14:38:05; 6=0.0; 14=10735; 37=algo20220411143804; 10=252;
8=FIX4.4; 35=8; 34=62; 49=MS; 56=M3; 52=2022-04-11-14:38:11; 151=3128; 55=AMZN; 11=C_algo20220411143809; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143811; 32=0; 41=algo20220411143809; 38=12503; 60=2022-04-11-14:38:11; 6=0.0; 14=6250; 37=algo20220411143809; 10=252;
8=FIX4.4; 35=8; 34=68; 49=MS; 56=M3; 52=2022-04-11-14:38:15; 151=4681; 55=GOOG; 11=C_algo20220411143815; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143815; 32=0; 41=algo20220411143815; 38=5851; 60=2022-04-11-14:38:15; 6=0.0; 14=0; 37=algo20220411143815; 10=252;
8=FIX4.4; 35=8; 34=72; 49=MS; 56=M3; 52=2022-04-11-14:38:18; 151=14481; 55=GOOGL; 11=C_algo20220411143817; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143818; 32=0; 41=algo20220411143817; 38=24133; 60=2022-04-11-14:38:18; 6=0.0; 14=4826; 37=algo20220411143817; 10=252;
8=FIX4.4; 35=8; 34=75; 49=MS; 56=M3; 52=2022-04-11-14:38:20; 151=6188; 55=INTC; 11=C_algo20220411143820; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143820; 32=0; 41=algo20220411143820; 38=12376; 60=2022-04-11-14:38:20; 6=0.0; 14=0; 37=algo20220411143820; 10=252;
8=FIX4.4; 35=8; 34=78; 49=MS; 56=M3; 52=2022-04-11-14:38:22; 151=7426; 55=PEP; 11=C_algo20220411143822; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143822; 32=0; 41=algo20220411143822; 38=9901; 60=2022-04-11-14:38:22; 6=0.0; 14=0; 37=algo20220411143822; 10=252;
8=FIX4.4; 35=8; 34=81; 49=MS; 56=M3; 52=2022-04-11-14:38:24; 151=15597; 55=NFLX; 11=C_algo20220411143824; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143824; 32=0; 41=algo20220411143824; 38=19496; 60=2022-04-11-14:38:24; 6=0.0; 14=0; 37=algo20220411143824; 10=252;
8=FIX4.4; 35=8; 34=87; 49=MS; 56=M3; 52=2022-04-11-14:38:28; 151=13576; 55=AMGN; 11=C_algo20220411143828; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143828; 32=0; 41=algo20220411143828; 38=18101; 60=2022-04-11-14:38:28; 6=0.0; 14=0; 37=algo20220411143828; 10=252;
8=FIX4.4; 35=8; 34=92; 49=MS; 56=M3; 52=2022-04-11-14:38:31; 151=793; 55=TSLA; 11=C_algo20220411143831; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143831; 32=0; 41=algo20220411143831; 38=1057; 60=2022-04-11-14:38:31; 6=0.0; 14=0; 37=algo20220411143831; 10=252;
8=FIX4.4; 35=8; 34=100; 49=MS; 56=M3; 52=2022-04-11-14:38:37; 151=24445; 55=AVGO; 11=C_algo20220411143837; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143837; 32=0; 41=algo20220411143837; 38=32593; 60=2022-04-11-14:38:37; 6=0.0; 14=0; 37=algo20220411143837; 10=252;
8=FIX4.4; 35=8; 34=106; 49=MS; 56=M3; 52=2022-04-11-14:38:41; 151=5936; 55=SBUX; 11=C_algo20220411143840; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143841; 32=0; 41=algo20220411143840; 38=17806; 60=2022-04-11-14:38:41; 6=0.0; 14=5935; 37=algo20220411143840; 10=252;
8=FIX4.4; 35=8; 34=112; 49=MS; 56=M3; 52=2022-04-11-14:38:45; 151=17568; 55=TMUS; 11=C_algo20220411143845; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143845; 32=0; 41=algo20220411143845; 38=23423; 60=2022-04-11-14:38:45; 6=0.0; 14=0; 37=algo20220411143845; 10=252;
8=FIX4.4; 35=8; 34=116; 49=MS; 56=M3; 52=2022-04-11-14:38:48; 151=19473; 55=MDLZ; 11=C_algo20220411143847; 31=0; 150=4; 39=4; 54=1; 17=exec20220411143848; 32=0; 41=algo20220411143847; 38=32453; 60=2022-04-11-14:38:48; 6=0.0; 14=6490; 37=algo20220411143847; 10=252;
8=FIX4.4; 35=8; 34=133; 49=MS; 56=M3; 52=2022-04-11-14:38:59; 151=1700; 55=EGHT; 11=C_algo20220411143859; 31=0; 150=4; 39=4; 54=2; 17=exec20220411143859; 32=0; 41=algo20220411143859; 38=2266; 60=2022-04-11-14:38:59; 6=0.0; 14=0; 37=algo20220411143859; 10=252;
